Longitude,Latitude,OBJECTID,STSSN_ID,YEAR_,MONTH_,DAY_,Commonname,County,CONDITION,CLSL,CWSL,CLOC,CWOC
-81.39720318,30.35700577,52501,SJB2003092701,2003,9,27,Loggerhead,Duval,Severely decomposed,0,0,62,60
-82.56970341,27.27890501,52502,DAF2003092801,2003,9,28,Kemp's ridley,Sarasota,Severely decomposed,58.4,57.5,61.2,64.6
-82.70280346,27.47510505,52503,JXM2003092801,2003,9,28,Loggerhead,Manatee,Moderately decomposed,0,0,71,63
-81.04270304,29.30020553,52504,JEB2003092901,2003,9,29,Loggerhead,Volusia,Severely decomposed,88.8,72.2,0,0
-82.87230343,24.62730434,52505,TEM2003092901,2003,9,29,Loggerhead,Monroe,Moderately decomposed,0,0,0,0
-81.68500312,25.84800467,52506,JCS2003093001,2003,9,30,Loggerhead,Collier,Moderately decomposed,0,0,79,73.6
-82.87380343,24.62970434,52507,KLG2003100101,2003,10,1,Loggerhead,Monroe,Severely decomposed,0,0,0,0
-81.26230296,24.66150438,52508,MXG2003100101,2003,10,1,Green turtle,Monroe,Severely decomposed,0,0,63.5,58.4
-81.4321032,30.70280585,52509,SXB2003100101,2003,10,1,Loggerhead,Nassau,Severely decomposed,0,0,35.6,27.3
-84.75570412,29.70820552,52510,MCS2003100201,2003,10,2,Loggerhead,Franklin,Moderately decomposed,0,0,78.7,81.3
-80.89810299,29.04360548,52511,SDK2003100301,2003,10,3,Green turtle,Volusia,Moderately decomposed,0,24.9,0,0
-81.39880301,24.69000439,52512,TMB2003100401,2003,10,4,Loggerhead,Monroe,Moderately decomposed,0,0,106.1,88
-81.2242031,29.70230562,52513,AMF2003100501,2003,10,5,Loggerhead,St. Johns,Alive,57.9,47.4,62.2,58.6
-81.32590315,30.0200057,52514,DEK2003100601,2003,10,6,Loggerhead,St. Johns,Severely decomposed,0,40.6,58.4,40.6
-82.87250343,24.62730434,52515,KLG2003100601,2003,10,6,Hawksbill,Monroe,Moderately decomposed,0,0,28,24
-80.42510281,27.81850519,52516,SEB2003100601,2003,10,6,Green turtle,Indian River,Alive,0,0,45,37
